Titel (of wat);Extra regel;link;Waarderen;Juniorstage;IPL;BVP;PZW;Minor;Getuigschriften;Inschrijven/aanmelden;Overig;Startdatum;Einddatum;Tijd startdatum;Tijd einddatum;Deadline;Wie?;P;H1;H2/3
Opleidingsdag Fysiotherapie;Voor nieuwe 1e jaars en instromers hogere jaren, onder begeleiding van hogerejaars;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;;;;;;;v;27-8-2025;27-8-2025;;;;Studenten;v;v;
Onboardingsweek per CoP;Voor alle studenten;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;;;;;;;v;1-9-2025;5-9-2025;;;;Studenten;v;v;v
IPL: Inschrijven;Start IPL in lesweek 1.2;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;v;;;;;;;2-9-2025;3-9-2025;12:00;10:00;;Studenten;;v;
BVP en Juniorstage: stagecontracten inleveren;;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;;v;;v;;;;;;2-9-2025;5-9-2025;;;;Studenten;;v;v
BVP: SCT;Te maken in periode week 1.1 tot 2.10;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;v;;;v;;;;;;2-9-2025;30-1-2026;;;;Studenten;;;v
BVP: Cursus leren signaleren;Alleen voor studenten BVP2;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;v;;;v;;;;;;2-9-2025;30-1-2026;;;;Studenten;;;v
Uitvraag te volgen onderwijs ;Voor onderwijs in semester 2 2025/2026;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;;;;v;v;v;;v;;2-9-2025;30-1-2026;;;;Studenten;;;
Feedbackmomenten kennis kans 1;"Thema 1 (P-studenten) en 5 (H1 studenten)
Zie toetsplanning voor extra info";https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;v;;;;;;;;;24-9-2025;24-9-2025;;;;Studenten;v;v;
LVT: aanmelden;Aanmelden is voorwaarde voor deelname;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;v;;;;;;;;;29-9-2025;17-10-2025;;;;Studenten;v;v;v
BVP: Inzien stageplaatsen ;Voor onderwijs in semester 2 2025/2026;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;;v;;;;;;29-9-2025;25-10-2025;;;;Studenten;;v;v
Minoren: inschrijven;Voor onderwijs in semester 2 2025/2026;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;;;;;;v;;;;1-10-2025;31-10-2025;00:00;23:59;;Studenten;;;v
Intekenen onderwijs en tentamens P2 (n.v.t.);;https://hannl.sharepoint.com/:b:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Instructie%20eJournal%20student%20-%20Plagiaatcontrole.pdf?csf=1&web=1&e=vSaPla;;;;;;;;v;;1-10-2025;31-10-2025;;;;Studenten;;;
Feedbackmomenten kennis kans 2;"Thema 1 (P-studenten) en 5 (H1 studenten)
Zie toetsplanning voor extra info";https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;v;;;;;;;;;22-10-2025;22-10-2025;;;;Studenten;v;v;
BVP: check lijst toelaatbaarheid ;"Voor studenten BVP1 en BVP2 die willen solliciteren in ronde 1
";https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;;v;;;;;;22-10-2025;22-10-2025;;;;Studenten;;v;v
BVP: sollicitatievoorkeuren doorgeven ronde 1;Voor studenten BVP1 en BVP2 die mogen solliciteren (op basis van toelaatbaarheid) in ronde 1;https://hannl.sharepoint.com/:w:/r/teams/FruitmandvoorverticaleCoP897/Gedeelde%20documenten/General/Overige%20bestanden/Toetsinformatie/eJournal/Inloggen%20in%20eJournal.docx?d=w4c77b7ccf6004a31b7e4aa00b9512074&csf=1&web=1&e=iKsNiV;;;;v;;;;;;22-10-2025;22-10-2025;;;;Studenten;;;
Studentarena 1 in CoP;Voor afvaardiging van 1e, 2e, 3e en 4e jaars, evaluatie van het blok;Inloggen in ejournal;;;;;;;;;;22-10-2025;22-10-2025;;;;Studenten;v;v;v
LVT indeling checken;Via Teams: Team Fysiotherapie;Inloggen in ejournal;v;;;;;;;;v;3-11-2025;7-11-2025;;;;Studenten;v;v;v
BVP: solliciteren ronde 1;Voor studenten BVP1 en BVP2 die toelaatbaar zijn vooor deze ronde: check sollicitatieplek, brief schrijven, sollicitatiegesprek (zie planning voor precieze data);Inloggen in ejournal;;;;v;;;;;;10-11-2025;28-11-2025?;;;;Studenten;;v;v
Landelijke Voortgang Toets;Op de HAN locatie Kapittelweg 33;Inloggen in ejournal;v;;;;;;;;;10-11-2025;28-11-2025?;;;;Studenten;v;v;v
Propedeuse-uitreiking: aanvragen getuigschrift in Osiris;Uiterste deadline om getuigschrift bij P-uitreiking te ontvangen;Inloggen in ejournal;;;;;;;v;;v;;26-11-2025;;;;Studenten;;v;
Feedbackmomenten kennis kans 1;"Thema 2 (P-studenten) en 6 (H1 studenten)
Zie toetsplanning voor extra info";Inloggen in ejournal;v;;;;;;;;;3-12-2025;3-12-2025;;;;Studenten;v;v;
Propedeuse-uitreiking;Feestelijk moment binnen de CoP;Inloggen in ejournal;;;;;;;v;;v;3-12-2025;3-12-2025;;;;Studenten;;;
Minoren: inschrijven ronde 2;Voor onderwijs in semester 2 2025/2026;Inloggen in ejournal;;;;;;v;;;;1-12-2025;15-12-2025;00:00;23:59;;Studenten;;;
PZW: opdrachten inzien;Voor onderwijs in semester 2 2025/2026;Inloggen in ejournal;;;;;v;;;;;2-9-2025;30-1-2026;;;;Studenten;;;
PZW:  opdrachtvoorkeuren doorgeven;"Voor onderwijs in semester 2 2025/2026
";Inloggen in ejournal;;;;;v;;;;;24-9-2025;24-9-2025;;;;Studenten;;v;v
BVP: check lijst toelaatbaarheid ;Voor studenten BVP1 en BVP2 die willen solliciteren in ronde 2;Inloggen in ejournal;;;;v;;;;;;29-9-2025;17-10-2025;;;;Studenten;;;
BVP: sollicitatievoorkeuren doorgeven ronde 2;Voor studenten BVP1 en BVP2 die mogen solliciteren (op basis van toelaatbaarheid) in ronde 2;Inloggen in ejournal;;;;v;;;;;;29-9-2025;25-10-2025;;;;Studenten;;;
BVP: solliciteren ronde 2;Voor studenten BVP1 en BVP2 die toelaatbaar zijn vooor deze ronde: sollicitatievoorkeuren doorgeven, brief schrijven, sollicitatiegesprek (zie planning voor precieze data);Inloggen in ejournal;;;;v;;;;;;1-10-2025;31-10-2025;;;;Studenten;;;
Feedbackmomenten kennis thema 2 en 6 (kans 2);;Inloggen in ejournal;v;;;;;;;;;1-10-2025;31-10-2025;;;;Studenten;;;
Juniorstage: inschrijven stageplaatsen;Start Juniorstage in week 3.1;Inloggen in ejournal;;v;;;;;;;;22-10-2025;22-10-2025;;;;Studenten;;;
Osiris: intekenen onderwijs en tentamens semester 2;Voor studenten H1 en H2/3 die in semester 2 PZW, BVP of Minor doen. (Link berichtâ€¦);Inloggen in ejournal;;;;;;;;v;;22-10-2025;22-10-2025;;;;Studenten;;;
BVP: check lijst toelaatbaarheid ;"Voor studenten BVP1 en BVP2 die toelaatheid zijn tot de stage
";Inloggen in ejournal;;;;v;;;;;;22-10-2025;22-10-2025;;;;Studenten;;;
BVP: ronde 3;Start ronde 3 incl. toelaatbaarheidscheck (voor studenten die na ronde 1 en 2 nog geen stageplek hebben);Inloggen in ejournal;;;;;;;;;;22-10-2025;22-10-2025;;;;Studenten;;;
PZW: opdrachten verdeeld;"Voor onderwijs in semester 2 2025/2026
PZW opdracht wordt bekend gemaakt door organisatie PZW";Inloggen in ejournal;;;;;v;;;;;3-11-2025;7-11-2025;;;;Studenten;;;
IPL: Inschrijven;Start IPL in lesweek 3.2;Inloggen in ejournal;;;v;;;;;;;10-11-2025;28-11-2025?;;;;Studenten;;v;
Bachelor getuigschrift: aanvragen getuigschrift in Osiris;"Uiterste deadline om bachelor getuigschrift aan te vragen voor diploma-uitreiking februari
Verwijzen naar proces aanvragen";Inloggen in ejournal;;;;;;;v;;v;10-11-2025;28-11-2025?;;;;Studenten;;;v
Studentarena 2 in CoP;Voor afvaardiging van 1e, 2e, 3e en 4e jaars, evaluatie van het blok;Inloggen in ejournal;;;;;;;;;v;10-11-2025;28-11-2025?;;;;Studenten;v;v;v